Enduring Resources,
Enel,
Energean,
Energie Beheer Nederland,
Energinet,
Energy Council of Canada,
Energy Operations Argentina,
Energy Transfer,
Energy World,
Enerplus,
EnerVest,
Eneva,
Engie,
Engro,
Eni,
EnQuest,
EnSight IV Energy Management,
Ensign Natural Resources,
Enterprise Products Partners,
Entreprise Tunisienne d'Activites Petrolieres,
EnVen Energy Ventures,
Enwell Energy,
EOG Resources,
EP Energy,
Epcilon,
EPIK,
Epsilon Development Company,
Epsilon Energy,
EQT,
Equinor A,
Equinor Canada,
Escondido Resources II,
Essar Group,
Etablissements Maurel & CoProm,
eustream a.s.,
Evergreen Natural Resources,
Evraz,
Excelerate Energy,
EXCO Resources,
Extraction Oil & Gas,
ExxonMobil,
ExxonMobil Canada,
Fairway Resources Partners III,
Fairwood Peninsula Energy,
Falcon Oil & Gas,
FAR,
Fasken Oil and Ranch,
Fasken Martineau DuMoulin,
Felix Energy,
Finley Resources,
FireBird Energy,
Fleur de Lis Energy,
Fluor Canada,
Fluxys NV,
Flywheel Energy,
Focus Energy,
Foreland Resources,
Fortis BC,
Fosun International,
Foundation Energy Management,
Fraser Institute,
Freehold Royalties,
Freeport Investments,
Frontera Energy,
Fundacao de Amparo a Pesquisa do Amapa,
G2,
GAIL,
Galp Energia SGPS,
Gas y Petroleo del Neuquen,
Gastrade,
Genel Energy,
Generac Power Systems,
General Electric,
General Motors,
Genting Berhad,
GeoPark,
GeoSouthern Energy,
Ghana National Petroleum,
Gibson Energy,
Glenfarne Group,
Global Infrastructure Partners,
Golar,
Goodrich Petroleum,
Gordy Oil,
Government Holdings,
Gran Tierra Energy,
Great Western Oil & Gas,
Greenfire Resources Operating,
Grenadier Energy Partners,
Greylock Energy,
Grizzly Energy,
Grupa LOTOS,
GS Holdings,
Guangdong Energy Group,
Guanghui Energy,
Guangxi Guangtou Natural Gas Pipeline,
Guangzhou Gas Group,
Guidon Energy,
Gujarat Maritime Board,
Gujarat State Petroleum,
Gulf Energy Development Public Company,
Gulfport Energy,
H-Energy Pvt,
H4 Capital Partners,
Hammerhead Resources,
Hannathon Petroleum,
Hanseatic Energy Hub,
Hanyang,
Harbour Energy,
Harland & CoWolff Group Holdings,
Hawkwood Energy,
Headington Energy Partners,
Hebei Province Construction & Investment Group,
Helis Oil & Gas Company,
Hemisphere Energy,
Hengtong Logistics,
Henry Resources,
Heritage Petroleum Company,
Hess,
HG Energy,
Hibernia Resources,
Hibiscus Petroleum Berhad,
Hidrovias do Brasil,
High Road Resources Holdings,
HighPeak Energy,
HighPoint Resources,
Hil Energy Company,
Hindustan Petroleum,
HKN Energy,
Hoegh Holdings,
Honghua Group,
Houston Energy,
Hrvatska Elektroprivreda,
HSBC Holdings,
Huainan Mining,
Huaying Investment Holding Group,
Hubei Minsheng Petroleum Liquefied Gas,
Hunan Natural Gas Pipeline,
Hunt Oil Company,
Hunter Gas Pipeline,
Hupecol Operating,
Husky Energy,
Idemitsu Petroleum Norge,
IKAV Energy,
ILX Holdings III,
IMC,
Impact Exploration And Production,
Imperial Oil,
Imperial Oil Resources,
Independence Energy,
Independence Resources Management,
Independent Oil and Gas,
Indian Farmers Fertiliser operative,
Indian Oil,
Indigo Natural Resources,
Indus Gas,
Industrial Forestry,
INEOS,
Inflection Energy,
Innergy Holdings,
INPEX,
InPlay Oil,
International Petroleum,
IOG Capital,
ION Geophysical,
Irkutsk Oil Company,
Isramco Negev 2,
ITOCHU,
Jadestone Energy,
Jaguar Exploracion y Produccion de Hidrocarburos,
Japan Oil Gas and Metals National,
Japan Petroleum Exploration,
Jay-Bee Oil & Gas,
JHI Associates,
Jiangsu Guoxin Investment Group,
JKLM Energy,
Jonah Energy,
Srbijagas,
Georgian Oil and Gas,
Independent Petroleum Company,
KazMunaiGas Exploration Production,
KazMunayGas,
NK Neftisa,
RusGazDobycha,
Skulte Terminal,
Uzbekneftegaz,
Zarubezhneft,
Jupiter Resources,
Nippon Oil & Gas Exploration,
Kaainaiwa Energy,
Kaiser-Francis Oil Company,
KAR Group,
Karoon Energy,
Karve Energy,
Kelt Exploration,
Kenya Pipeline Company,
Keyera,
Kicking Horse Oil & Gas,
Kinder Morgan Canada,
Kinder Morgan,
Kiwetinohk Energy,
KJ Energy,
KKR & Co,
Klohn Crippen,
Korea Gas,
Korea National Oil,
Kosmos Energy,
Kraken Oil & Gas,
Kumul Petroleum Holdings,
KunLun Energy Company,
Kuwait Petroleum,
Laramie Energy,
Laredo Energy,
Laredo Petroleum,
Lario Oil & Gas Company,
Latigo Petroleum,
Lawson Lundell L,
Ledcor Industries,
Legacy Reserves,
LEKOIL,
Leucrotta Exploration,
Lewis Energy Group,
Liberty Resources II,
Lilis Energy,
Lime Petroleum,
Lime Rock Resources,
Liquefied Natural Gas,
LLOG Exploration Company,
LNG Alliance Pte,
LNG Canada,
Logos Resources II,
Lonestar Resources US,
Longkou Port,
Longshore Resources,
Lundin Energy AB,
Luxe Energy,
Lynx Energy,
Macau Natural Gas Company,
MacDonald-Laurier Institute,
Macedonian Energy Resources Skopje,
Magnolia Oil & Gas,
Mallard Exploration,
Mamoura Diversified Global Holding,
Mancal Energy,
Manning Centre for Building Democracy,
Marathon Oil,
Mari Petroleum Company,
Marubeni,
Matador Resources Company,
Maverick Natural Resources,
Mazarine Energy BV,
MDC Texas Energy,
MDU Resources Group,
MEG Energy,
Melita TransGas,
Menard Canada,
Merit Energy Company,
MERO CR a.s.,
Mesquite Energy,
Methanex,
Mewbourne Oil Company,
Michels Canada,
Middle Fork Energy Partners,
Miller Thomson,
Missan Oil Company,
Mitsubishi,
Mitsui & Co,
MNP,
Modern Resources,
MOL NyRt,
Montage Resources,
MPR Sarmatia,
Murchison Oil & Gas,
Murphy Oil Company,
Murphy Oil,
MVM Magyar Villamos Muvek Zrt,
Myanma Oil and Gas Enterprise,
Nadel and Gussman,
Naftogaz Group,
NAL Resources,
National Energy Board,
National Fuel Gas Company,
National Iranian Oil Company,
National Oil,
Navitas Petroleum,
Neptune Energy Group,
New Bright International Development,
New Fortress Energy,
New Jersey Resources,
New Zealand Oil & Gas,
Nexen Energy,
NextDecade,
NextEra Energy,
Nickel Road Operating,
Nigerian National Petroleum,
Nigerian Petroleum Development Company,
Nine Point Energy,
Ningxia Hanas Natural Gas Group,
Noble Energy,
Nordsofonden,
North Oil Company,
Northeast Natural Energy,
Northern Oil and Gas,
Northwoods Energy,
Norwegian Energy Company,
Nostrum Oil & Gas,
NOVAGOLD Resources,
NTPC,
NuVista Energy,
NV Nederlandse Gasunie,
NZNP Trade,
Oak Ridge Natural Resources,
Oasis Petroleum,
Obsidian Energy,
Occidental Petroleum,
Office National de l'Electricite et de l'Eau Potable,
Office National des Hydrocarbures et des Mines,
Oil and Gas Development Company,
Oil and Natural Gas,
Oil India,
Oil Search,
Oiltanking,
OKEA A,
Olipdp,
Olympus Energy,
OMV,
OMV Petrom,
ONE-Dyas BV,
ONEOK,
OOO Yargeo,
Operator Gazociagow Przesylowych,
Optimum Petroleum Development,
OQ OC,
Oriental Energy Resources,
Origin Energy,
Orlen Upstream Canada,
Oryx Midstream,
Osaka Gas,
Osum Oil Sands,
Otto Energy,
Ovintiv Canada,
Ovintiv,
PA Belorusneft,
Pacific Canbriam Energy,
Pacific Oil & Gas,
Painted Pony Energy,
Pakistan Oilfields,
Pakistan Petroleum,
Paloma Resources,
Pampa Energia,
Pandion Energy,
Panoro Energy,
Pantheon Resources,
PAO NOVATEK,
Paramount Resources,
Parex Resources,
Parsley Energy,
Paso Norte Pipeline Group,
PDC Energy,
Peak Exploration & Production,
Pembina Pipeline,
PepsiCo Canada,
PERI Framework Systems,
Penn Virginia,
PennEnergy Resources,
Pennsylvania General Energy Company,
Perenco,
Permian Deep Rock Oil,
PERN,
Perpetual Energy,
Petoro,
Petro Matad,
Petro Rio,
Petro-Hunt,
Petroamazonas EP,
PetroBAL PI de CV,
PetroChina Canada,
PetroChina Company,
PetroLegacy Energy II,
Petroleo Brasileiro,
Petrobras,
Petroleos de Venezuela,
Petroleos Mexicanos,
Petroleum Development Oman,
Petrolia NOCO,
Petroliam Nasional Berhad,
Petronas Energy Canada,
Petronet,
Petropars,
PetroQuest Energy,
PetroShale,
PetroTel Energy,
Petrus Resources,
Peyto Exploration and Development,
Phoenix Global Resources,
Pieridae Energy,
Pilatus Energy,
Pine Wave Energy Partners,
Pioneer Natural Resources Company,
Pipestone Energy,
Gazprom,
Gazprom Neft,
Joint Stock Oil Company Bashneft,
LUKOIL,
Rosneft Oil Company,
RussNeft,
Tatneft,
Transneft,
Plains All American Pipeline,
Plains GP Holdings,
PLINACRO,
Plinovodi,
Pluspetrol Resources,
Point Energy Partners,
Pointe,
Polski Koncern Naftowy ORLEN,
Polskie Gornictwo Naftowe i Gazownictwo,
POLY-GCL Petroleum Group Holdings,
Polytec Asset Holdings,
Porto Central Complexo Industrial Portuario,
Porto Norte Fluminense,
Posco International,
Power Corporation of Canada,
Powertech Labs,
Predator Oil & Gas Holdings,
Premier Oil,
President Energy,
Presidio Petroleum,
PRI Operating LLC (Patriot Resources),
Primexx Energy Partners,
Profin Consulting,
Promigas ESP,
Protege Energy III,
Australasia Indonesia,
Energi Mega Persada,
Energi Mineral Langgeng,
Medco Energi Internasional,
Pertamina,
Saka Energi Indonesia,
PTT Exploration and Production Public Company,
PTT Public Company,
PureWest Energy,
Pursuit Oil & Gas,
QatarEnergy,
QEP Resources,
QuarterNorth Energy,
Questerre Energy,
R Lacy,
Range Resources,
Ratio Oil Exploration,
Ratio Petroleum Energy,
RCMA Australia Pty,
Reabold Resources,
Reconnaissance Energy Africa,
Recursos Energeticos y Mineros de Salta,
Red Bluff Resources,
Red Willow Production,
Red Wolf Natural Resources,
Reliance Industries,
Repsol Oil & Gas Canada,
Repsol,
Resource Works,
Revolution Resources,
Rex International Holding,
Ridgeback Resources,
Ridgewood Companies,
Riley Exploration Permian,
Rimrock Oil & Gas,
Ring Energy,
Rio Oil and Gas II,
Riverside Energy Michigan,
Riviera Resources,
Rizhao Port Oil Terminal,
Rockcliff Energy,
Rockdale Marcellus,
Rockhopper Exploration,
Rockies,
Rosehill Resources,
Rosewood Resources,
Royal Bank of Canada,
Royal Dutch Shell,
Royal Vopak NV,
Rustum Petroleums,
RWE,
S-Frame Software,
Sabalo Energy,
Sable Permian Resources,
Sage Natural Resources,
Saguaro Resources,
Sahara Group,
Sakhalin Oil and Gas Development,
Samruk-Kazyna JSC,
Samson Resources II,
Samsung Engineering,
SandRidge Energy,
Santos,
Sapura Energy Berhad,
Sasol,
Saudi Arabian Oil Company,
Scala Energy,
Schlumberger,
Schneider Electric Canada,
Scout Energy Partners,
SDX Energy,
Sempra Energy,
Sentinel Peak Resources,
Seplat Petroleum Development Company,
Sequitur Energy Resources,
Serafina Energy,
Serinus Energy,
Seven Generations Energy,
Seven Group Holdings,
SGSP Assets Pty,
Shaanxi Yanchang Petroleum,
Shandong Hainuo Port,
Shandong Landbridge Group,
Shandong Lucion Investment Holding Group,
Shandong Pan-Asia International Energy Distribution Center,
Shantou Sinogas Energy,
Shapoorji Pallonji Infrastructure Capital Pvt,
Sharjah National Oil,
Shawcor,
Shell Canada,
Shenergy Group Company,
Sheridan Production Company,
Sherritt International,
Shoreline Natural Resources,
Siccar Point Energy,
SilverBow Resources,
Singapore LNG Corporation,
Sino Gas & CoEnergy Holdings,
Sino GeoPhysical,
Sinochem Group,
Sinoenergy Investment,
SK,
SK Innovation,
Slawson Exploration Company,
SM Energy Company,
Snam,
SNGN Romgaz,
SNTGN Transgaz,
Snyder Brothers,
Societa Gasdotti Italia,
Societe Algerienne de Gestion du Reseau de Transport du Gaz,
Societe Des Petroles Du Senegal,
Societe Mauritanienne des Hydrocarbures et de Patrimoine,
Societe Nationale d'Operations Petrolieres de la Cote d'Ivoire,
Societe Nationale Petroliere Gabonaise,
Sojitz,
Sonangol,
Sonatrach,
South Atlantic Petroleum,
Southland Royalty Company,
Southwestern Energy Company,
Spartan Delta,
Speciality Polymer atings,
Spirit Energy,
Sponte Operating,
Springfield Exploration and Production,
Spur Energy Partners,
Spur Petroleum,
Staatsolie Maatschappij Suriname,
Staghorn Petroleum II,
State Concern Turkmennebit,
State Oil Company of the Azerbaijan Republic,
Steward Energy,
Storm Resources,
Strath Resources,
Strathcona Resources,
Statoil,
Strike Energy,
Stikeman Elliot,
Stuart Olson Construction,
Sumitomo,
Summit Petroleum,
Summit Power International,
Sub Salt Solutions,
Suncor,
Suncor Energy,
Suncor Energy,
Sundance Energy,
Sunlink Petroleum,
Sunny Hill Energy,
Sunshine Oilsands,
Surge Energy,
Surge Energy US Holdings Company,
Surgutneftegas PJSC,
Sval Energi,
Swan Energy,
Syncrude Canada,
Syrian Petroleum Company,
Tailwind Energy,
Taiwan Power Company,
Talisman Energy,
Tall City Operations III,
Tallgrass Energy,
Talos Energy,
Tamar Petroleum,
Tamarack Valley Energy,
Tanos Exploration,
Tap Rock Resources,
Tapstone Energy,
Targa Resources,
TAZAMA Pipelines,
TC Energy,
Teal Natural Resources,
Teck Resources,
Tecpetrol International,
Teine Energy,
Tellurian,
Temasek Holdings,
Templar Energy,
Terminal Portuario de Macae,
Terra Energy Partners,
Tethys Oil,
Tharwa Petroleum Company,
Carlyle Group,
Kansai Electric Power Company,
Oil and Gas Holding BSC,
Parkmead Group,
Rebel Media,
Silk Road Fund,
South Gas Company,
Williams Companies,
Timor GAP,
Titus Oil & Gas,
Tojeiro Alimentacion,
Tokyo Gas,
Total,
Top Resource Conservation & Environment,
TORC Oil & Gas,
Toronto-Dominion Bank,
TD Bank,
TotalEnergies SE,
Touchstone Exploration,
Tourmaline Oil,
TPG Capital,
TPI Polene Power Public Company,
Trace Midstream Partners,
Tracker Resource Development III,
TransAlta,
TransCanada,
Trans Mountain,
Transnet SOC,
Transportadora de Gas Brasil Central,
TreadStone Energy Partners II,
Tribune Resources,
Trident Energy,
Trident Petroleum Company,
Trinity Operating,
Triple Crown Resources,
Triumph Energy Partners,
True Companies,
TTCL Public Company,
Tug Hill Operating,
Tulip Oil Holding,
Tullow Oil,
Tundra Oil & Gas,
Turkiye Petrolleri Anonim Ortakligi,
Turkmengaz State Concern,
UAB EPSO-G,
Unbridled Resources,
Union CubaPetroleo,
United Energy Group,
United Production Partners,
University of Calgary,
UpCurve Energy,
Urban Oil & Gas Group,
USG Properties Haynesville,
Valero Energy,
Valeura Energy,
Var Energi,
Vedanta Resources,
Velvet Energy,
Venado Oil & Gas,
Venice Energy,
Venture Global,
Verdad Resources,
Verdun Oil Company,
Vermilion Energy,
Vesta Energy,
Videocon Industries,
Vietnam Electricity,
Vietnam National Petroleum Group,
Vietnam Oil and Gas Group,
Vine Energy,
Vista Oil & Gas,
Vitol Holding II,
W&T Offshore,
Walter Oil & Gas,
Warrego Energy,
Wellesley Petroleum,
West Delta,
Westbrick Energy,
Western Gas,
WesternGeco,
Westcoast Energy,
Westmoreland Coal,
Whitecap Resources,
Whiting Petroleum,
Wintershall Dea,
Woodside Petroleum,
WPX Energy,
XCL Resources,
XinAo Group,
Yacimientos Petroliferos Fiscales Bolivianos,
Yangarra Resources,
Young Pipeliners Association of Canada,
YPF,
YPFB Andina,
YTL Power International Bhd,
Zachry Hastings Infrastructure Partners,
Zarvona Energy,
Zavanna,
Zennor Petroleum,
Zhejiang Provincial Energy Group Company,
Zhongan Xinzi,
Zion Oil & Gas,
